date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:28	29255/29255	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:26%20GMT	http://api.jquery.com/category/manipulation/general-attributes/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/manipulation/general-attributes/index.html	(from http://api.jquery.com/)
16:40:28	57559/57559	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:26%20GMT	http://api.jquery.com/attr/	/Users/benoit/websites/api.jquery.com/api.jquery.com/attr/index.html	(from http://api.jquery.com/)
16:40:28	32529/32529	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:27%20GMT	http://api.jquery.com/attribute-contains-prefix-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/attribute-contains-prefix-selector/index.html	(from http://api.jquery.com/)
16:40:29	33238/33238	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:27%20GMT	http://api.jquery.com/category/selectors/attribute-selectors/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/selectors/attribute-selectors/index.html	(from http://api.jquery.com/)
16:40:29	31239/31239	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:28%20GMT	http://api.jquery.com/attribute-contains-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/attribute-contains-selector/index.html	(from http://api.jquery.com/)
16:40:29	31250/31250	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:28%20GMT	http://api.jquery.com/attribute-contains-word-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/attribute-contains-word-selector/index.html	(from http://api.jquery.com/)
16:40:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Feb%202013%2015:40:28%20GMT	http://api.jquery.com/Types	/Users/benoit/websites/api.jquery.com/api.jquery.com/Types.c.delayed	(from http://api.jquery.com/)
16:40:30	30689/30689	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:28%20GMT	http://api.jquery.com/attribute-ends-with-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/attribute-ends-with-selector/index.html	(from http://api.jquery.com/)
16:40:30	33887/33887	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:29%20GMT	http://api.jquery.com/attribute-equals-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/attribute-equals-selector/index.html	(from http://api.jquery.com/)
16:40:30	34125/34125	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:29%20GMT	http://api.jquery.com/attribute-not-equal-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/attribute-not-equal-selector/index.html	(from http://api.jquery.com/)
16:40:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Feb%202013%2015:40:29%20GMT	http://api.jquery.com/not	/Users/benoit/websites/api.jquery.com/api.jquery.com/not.d.delayed	(from http://api.jquery.com/)
16:40:30	30923/30923	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:29%20GMT	http://api.jquery.com/attribute-starts-with-selector/	/Users/benoit/websites/api.jquery.com/api.jquery.com/attribute-starts-with-selector/index.html	(from http://api.jquery.com/)
16:40:31	47726/47726	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:29%20GMT	http://api.jquery.com/before/	/Users/benoit/websites/api.jquery.com/api.jquery.com/before/index.html	(from http://api.jquery.com/)
16:40:31	32060/32060	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202013%2015:40:30%20GMT	http://api.jquery.com/category/events/event-handler-attachment/	/Users/benoit/websites/api.jquery.com/api.jquery.com/category/events/event-handler-attachment/index.html	(from http://api.jquery.com/)
